w,open,open,open,open,open,open,close,close,close,close,close,close,high,high,high,high,high,high,low,low,low,low,low,low,volume,volume,volume,volume,volume,volume,code
,RELIANCE.NS,TCS.NS,HDFCBANK.NS,INFY.NS,ICICIBANK.NS,HINDUNILVR.NS,RELIANCE.NS,TCS.NS,HDFCBANK.NS,INFY.NS,ICICIBANK.NS,HINDUNILVR.NS,RELIANCE.NS,TCS.NS,HDFCBANK.NS,INFY.NS,ICICIBANK.NS,HINDUNILVR.NS,RELIANCE.NS,TCS.NS,HDFCBANK.NS,INFY.NS,ICICIBANK.NS,HINDUNILVR.NS,RELIANCE.NS,TCS.NS,HDFCBANK.NS,INFY.NS,ICICIBANK.NS,HINDUNILVR.NS,
10-01-2012,,,,,116.9886702,,,,,,120.6976471,,,,,,121.3989329,,,,,,116.8873767,,,,,,22240036,,ICICIBANK.NS
10-01-2012,,,,,,314.1970675,,,,,,315.7540894,,,,,,318.5886402,,,,,,312.7598352,,,,,,1818282,HINDUNILVR.NS
10-01-2012,147.1286772,,,,,,152.1293945,,,,,,152.7080016,,,,,,147.1286772,,,,,,19720278,,,,,,RELIANCE.NS
11-01-2012,152.480669,,,,,,154.6194153,,,,,,155.6009614,,,,,,151.1581606,,,,,,21183286,,,,,,RELIANCE.NS
11-01-2012,,,,,121.2586777,,,,,,121.5781479,,,,,,123.1131662,,,,,,120.4872646,,,,,,27287084,,ICICIBANK.NS
11-01-2012,,,,261.7600729,,,,,,257.9815369,,,,,,264.2152056,,,,,,256.7402668,,,,,,13795800,,,INFY.NS
11-01-2012,,,95.68219807,,,,,,96.12892151,,,,,,96.40942433,,,,,,94.53941395,,,,,,7719112,,,,HDFCBANK.NS
11-01-2012,,472.447003,,,,,,458.5728455,,,,,,473.8989388,,,,,,457.0200801,,,,,,5675380,,,,,TCS.NS
11-01-2012,,,,,,316.8719297,,,,,,313.3985901,,,,,,318.3490999,,,,,,312.4803571,,,,,,1313159,HINDUNILVR.NS
12-01-2012,,,,,121.5391884,,,,,,121.7729416,,,,,,124.1728717,,,,,,120.6353155,,,,,,27573436,,ICICIBANK.NS
12-01-2012,,,,250.9903828,,,,,,236.2275848,,,,,,250.9903828,,,,,,235.2966431,,,,,,48970600,,,INFY.NS
12-01-2012,,444.0534436,,,,,,439.4152832,,,,,,449.6998997,,,,,,431.0061066,,,,,,9528684,,,,,TCS.NS
12-01-2012,,,,,,314.3966389,,,,,,314.6361694,,,,,,317.0715104,,,,,,310.2046837,,,,,,2145254,HINDUNILVR.NS
12-01-2012,,,95.93153532,,,,,,96.96003723,,,,,,97.46909815,,,,,,95.82764586,,,,,,7975444,,,,HDFCBANK.NS
12-01-2012,154.4644394,,,,,,152.2740479,,,,,,155.5906442,,,,,,151.3854876,,,,,,14225123,,,,,,RELIANCE.NS
13-01-2012,,,,238.9428451,,,,,,235.8579407,,,,,,239.0341143,,,,,,232.9418932,,,,,,20898944,,,INFY.NS
13-01-2012,,442.5004237,,,,,,437.9025879,,,,,,445.000976,,,,,,432.7602826,,,,,,4019828,,,,,TCS.NS
13-01-2012,,,97.65609309,,,,,,97.57298279,,,,,,98.28981626,,,,,,95.79646921,,,,,,7381684,,,,HDFCBANK.NS
13-01-2012,,,,,122.7702976,,,,,,123.0274353,,,,,,126.1831885,,,,,,121.6794276,,,,,,32983258,,ICICIBANK.NS
13-01-2012,,,,,,314.5164315,,,,,,312.7198792,,,,,,315.0753687,,,,,,311.5621156,,,,,,2414816,HINDUNILVR.NS
13-01-2012,153.3278908,,,,,,151.2201538,,,,,,155.1773334,,,,,,150.455575,,,,,,20530513,,,,,,RELIANCE.NS
16-01-2012,150.837866,,,,,,147.3249664,,,,,,150.837866,,,,,,146.9220135,,,,,,17794345,,,,,,RELIANCE.NS
16-01-2012,,437.1968415,,,,,,447.4411316,,,,,,449.2963851,,,,,,435.1399289,,,,,,3047202,,,,,TCS.NS
16-01-2012,,,,235.5885939,,,,,,240.9643402,,,,,,241.3157355,,,,,,235.3923741,,,,,,13188736,,,INFY.NS
16-01-2012,,,96.99119456,,,,,,95.68218994,,,,,,97.20936623,,,,,,95.21468738,,,,,,6383420,,,,HDFCBANK.NS
16-01-2012,,,,,121.8664383,,,,,,123.3624954,,,,,,124.110524,,,,,,121.1339864,,,,,,27942612,,ICICIBANK.NS
16-01-2012,,,,,,312.2008457,,,,,,308.4879761,,,,,,312.2008457,,,,,,307.4100399,,,,,,2898804,HINDUNILVR.NS
17-01-2012,,,,241.8634734,,,,,,242.9632721,,,,,,243.9444164,,,,,,240.3894841,,,,,,8740424,,,INFY.NS
17-01-2012,,,,,,309.4861169,,,,,,317.4707947,,,,,,318.5886447,,,,,,307.969033,,,,,,3985373,HINDUNILVR.NS
17-01-2012,,,96.38864139,,,,,,97.32364655,,,,,,97.44831517,,,,,,96.20164163,,,,,,7322016,,,,HDFCBANK.NS
17-01-2012,,,,,124.671574,,,,,,122.419693,,,,,,125.3572703,,,,,,122.0846331,,,,,,23766616,,ICICIBANK.NS
17-01-2012,,451.6760888,,,,,,445.2431335,,,,,,453.6119867,,,,,,441.2301369,,,,,,3704218,,,,,TCS.NS
17-01-2012,147.9552352,,,,,,153.3382416,,,,,,153.8238488,,,,,,147.9552352,,,,,,22738488,,,,,,RELIANCE.NS
18-01-2012,,,98.2586518,,,,,,100.1286621,,,,,,100.8558883,,,,,,97.57298388,,,,,,20137244,,,,HDFCBANK.NS
18-01-2012,,,,,121.5236155,,,,,,119.9418411,,,,,,121.8586754,,,,,,118.7496773,,,,,,24342285,,ICICIBANK.NS
18-01-2012,157.4607547,,,,,,161.1286316,,,,,,162.8127662,,,,,,156.6445169,,,,,,40461227,,,,,,RELIANCE.NS
18-01-2012,,,,241.3157812,,,,,,238.3997345,,,,,,241.3157812,,,,,,235.930898,,,,,,9700424,,,INFY.NS
18-01-2012,,435.5837715,,,,,,434.0310059,,,,,,442.1578796,,,,,,421.5886459,,,,,,11665532,,,,,TCS.NS
18-01-2012,,,,,,318.9878969,,,,,,313.1990051,,,,,,318.9878969,,,,,,310.2047508,,,,,,1875310,HINDUNILVR.NS
19-01-2012,163.0400362,,,,,,162.3477936,,,,,,164.4761941,,,,,,161.6142101,,,,,,23989114,,,,,,RELIANCE.NS
19-01-2012,,,100.9805537,,,,,,101.1467743,,,,,,101.8636141,,,,,,99.79621133,,,,,,16842176,,,,HDFCBANK.NS
19-01-2012,,438.4068836,,,,,,433.7889099,,,,,,439.173198,,,,,,429.6952203,,,,,,4163292,,,,,TCS.NS
19-01-2012,,,,238.760308,,,,,,236.8162689,,,,,,239.3809432,,,,,,235.1643092,,,,,,9652336,,,INFY.NS
19-01-2012,,,,,,314.5963154,,,,,,312.5202942,,,,,,315.6343138,,,,,,309.8055085,,,,,,1924205,HINDUNILVR.NS
19-01-2012,,,,,121.6326969,,,,,,124.2352142,,,,,,124.9676664,,,,,,121.6326969,,,,,,24162462,,ICICIBANK.NS
20-01-2012,163.2466998,,,,,,163.7943115,,,,,,165.3131239,,,,,,159.5374959,,,,,,31725274,,,,,,RELIANCE.NS
20-01-2012,,,101.8116656,,,,,,101.9259415,,,,,,102.5285054,,,,,,99.82737956,,,,,,14390260,,,,HDFCBANK.NS
20-01-2012,,435.5633399,,,,,,435.3818665,,,,,,439.9998388,,,,,,432.7602989,,,,,,2572694,,,,,TCS.NS
20-01-2012,,,,236.934859,,,,,,236.2777252,,,,,,238.1852427,,,,,,235.1368601,,,,,,11635712,,,INFY.NS
20-01-2012,,,,,,312.9993506,,,,,,312.3206482,,,,,,314.3168175,,,,,,310.883416,,,,,,1944382,HINDUNILVR.NS
20-01-2012,,,,,126.8533222,,,,,,131.2869568,,,,,,132.7128869,,,,,,126.8533222,,,,,,53063989,,ICICIBANK.NS
23-01-2012,156.0762501,,,,,,159.4341736,,,,,,161.1286261,,,,,,156.0555866,,,,,,28250482,,,,,,RELIANCE.NS
23-01-2012,,,,,,312.3206223,,,,,,315.9137268,,,,,,321.5030005,,,,,,310.3643912,,,,,,2009356,HINDUNILVR.NS
23-01-2012,,,100.9805526,,,,,,100.5649948,,,,,,101.3441657,,,,,,99.92087891,,,,,,7533728,,,,HDFCBANK.NS
23-01-2012,,,,,131.3726495,,,,,,133.5154419,,,,,,135.8296682,,,,,,131.3726495,,,,,,25234418,,ICICIBANK.NS
23-01-2012,,,,236.387239,,,,,,237.3273163,,,,,,238.7146037,,,,,,236.2959698,,,,,,5160864,,,INFY.NS
23-01-2012,,438.0035051,,,,,,434.6559448,,,,,,440.2015693,,,,,,433.224195,,,,,,2130496,,,,,TCS.NS
24-01-2012,,,,,,318.9080228,,,,,,313.8776855,,,,,,318.9479608,,,,,,312.9993661,,,,,,1785375,HINDUNILVR.NS
24-01-2012,,438.8102262,,,,,,439.0925293,,,,,,441.6334538,,,,,,434.777044,,,,,,2641310,,,,,TCS.NS
24-01-2012,160.0644301,,,,,,161.9552002,,,,,,163.5773303,,,,,,159.1965334,,,,,,22291662,,,,,,RELIANCE.NS
24-01-2012,,,,,134.0219469,,,,,,138.3932495,,,,,,139.4763251,,,,,,132.0038321,,,,,,46604728,,ICICIBANK.NS
24-01-2012,,,100.8247195,,,,,,101.5623322,,,,,,102.4557853,,,,,,99.84815609,,,,,,15063952,,,,HDFCBANK.NS
24-01-2012,,,,238.9427603,,,,,,239.1983185,,,,,,240.9141839,,,,,,236.8435687,,,,,,5653208,,,INFY.NS
25-01-2012,,,101.8636121,,,,,,101.8532257,,,,,,102.4350041,,,,,,100.928607,,,,,,14819100,,,,HDFCBANK.NS
25-01-2012,,,,240.4944148,,,,,,243.3055115,,,,,,244.1451839,,,,,,239.5817225,,,,,,10545360,,,INFY.NS
25-01-2012,,442.8132854,,,,,,444.0670166,,,,,,448.8999667,,,,,,441.2562296,,,,,,5845238,,,,,TCS.NS
25-01-2012,,,,,138.9776499,,,,,,137.1465454,,,,,,139.4763358,,,,,,135.4712721,,,,,,31109006,,ICICIBANK.NS
25-01-2012,,,,,,314.1970859,,,,,,314.2369995,,,,,,318.6685105,,,,,,310.8035976,,,,,,3214760,HINDUNILVR.NS
25-01-2012,162.9780343,,,,,,163.4429779,,,,,,164.2798791,,,,,,161.7588437,,,,,,16786908,,,,,,RELIANCE.NS
27-01-2012,165.3130906,,,,,,169.5285645,,,,,,171.0783856,,,,,,165.1064413,,,,,,24347771,,,,,,RELIANCE.NS
27-01-2012,,,,246.6094262,,,,,,248.7086182,,,,,,249.6213103,,,,,,245.1673681,,,,,,12218872,,,INFY.NS
27-01-2012,,446.8981113,,,,,,448.4147339,,,,,,453.1870593,,,,,,444.9163813,,,,,,5209718,,,,,TCS.NS
27-01-2012,,,,,,319.3472587,,,,,,311.3625793,,,,,,319.3472587,,,,,,306.6915371,,,,,,3014531,HINDUNILVR.NS
27-01-2012,,,104.6998008,,,,,,100.6065598,,,,,,104.72058,,,,,,99.66116182,,,,,,14877636,,,,HDFCBANK.NS
27-01-2012,,,,,138.3854193,,,,,,138.3776245,,,,,,138.7750167,,,,,,134.6686478,,,,,,25271570,,ICICIBANK.NS
30-01-2012,168.1853881,,,,,,164.2281952,,,,,,169.2082611,,,,,,163.701261,,,,,,21126187,,,,,,RELIANCE.NS
30-01-2012,,,100.3468343,,,,,,99.53649139,,,,,,100.3572207,,,,,,98.27943144,,,,,,9975016,,,,HDFCBANK.NS
30-01-2012,,445.8868677,,,,,,449.6278687,,,,,,452.5397631,,,,,,445.1791108,,,,,,2595558,,,,,TCS.NS
30-01-2012,,,,246.3264786,,,,,,247.5494995,,,,,,248.7268635,,,,,,245.5141915,,,,,,9588456,,,INFY.NS
30-01-2012,,,,,,309.805497,,,,,,305.2941589,,,,,,312.1210487,,,,,,303.4177548,,,,,,3357821,HINDUNILVR.NS
30-01-2012,,,,,136.6711712,,,,,,132.8063507,,,,,,137.3334828,,,,,,132.1518339,,,,,,24137976,,ICICIBANK.NS
31-01-2012,,,,,133.9829677,,,,,,140.5905609,,,,,,141.323013,,,,,,133.8583028,,,,,,56490241,,ICICIBANK.NS
31-01-2012,,,,247.522076,,,,,,250.6252289,,,,,,251.4146986,,,,,,246.9744608,,,,,,8658896,,,INFY.NS
31-01-2012,,450.1335498,,,,,,457.9795532,,,,,,459.3950675,,,,,,450.1335498,,,,,,3538120,,,,,TCS.NS
31-01-2012,,,100.4611012,,,,,,102.2480011,,,,,,102.8505587,,,,,,99.7027095,,,,,,10653848,,,,HDFCBANK.NS
31-01-2012,166.2430034,,,,,,168.8466797,,,,,,169.6112586,,,,,,165.6024058,,,,,,27405612,,,,,,RELIANCE.NS
31-01-2012,,,,,,306.6115979,,,,,,302.5793457,,,,,,306.6115979,,,,,,298.9063894,,,,,,5410046,HINDUNILVR.NS
01-02-2012,,,102.7466969,,,,,,103.2973099,,,,,,103.82715,,,,,,100.0144048,,,,,,12020596,,,,HDFCBANK.NS
01-02-2012,,,,,141.5022121,,,,,,138.6815186,,,,,,141.8684382,,,,,,136.8270302,,,,,,43818566,,ICICIBANK.NS
01-02-2012,,,,250.0503195,,,,,,250.3241272,,,,,,250.8078586,,,,,,246.0299052,,,,,,6269336,,,INFY.NS
01-02-2012,169.2186295,,,,,,171.7603149,,,,,,172.3389081,,,,,,168.6193728,,,,,,16522676,,,,,,RELIANCE.NS
01-02-2012,,,,,,303.2182011,,,,,,307.2105408,,,,,,308.4880944,,,,,,301.1421795,,,,,,3629907,HINDUNILVR.NS
01-02-2012,,456.7660425,,,,,,456.4829102,,,,,,459.0308545,,,,,,448.2122859,,,,,,2288804,,,,,TCS.NS
02-02-2012,,,,250.0867555,,,,,,251.6291962,,,,,,254.0021955,,,,,,249.1649277,,,,,,11538256,,,INFY.NS
02-02-2012,,,,,,308.2085565,,,,,,311.9613647,,,,,,314.1571511,,,,,,307.569792,,,,,,3401946,HINDUNILVR.NS
02-02-2012,,459.4354439,,,,,,464.2886353,,,,,,466.1692568,,,,,,457.1301978,,,,,,3386140,,,,,TCS.NS
02-02-2012,,,103.6816754,,,,,,103.4531174,,,,,,103.8894543,,,,,,102.0817753,,,,,,22841708,,,,HDFCBANK.NS
02-02-2012,172.5455563,,,,,,171.3573608,,,,,,174.1366909,,,,,,170.3034923,,,,,,21445055,,,,,,RELIANCE.NS
02-02-2012,,,,,140.0996774,,,,,,140.6217346,,,,,,142.0944207,,,,,,137.0218456,,,,,,46734902,,ICICIBANK.NS
03-02-2012,,463.0752542,,,,,,473.8129578,,,,,,475.6126628,,,,,,461.457524,,,,,,2777558,,,,,TCS.NS
03-02-2012,171.512362,,,,,,173.227478,,,,,,173.5787722,,,,,,168.547046,,,,,,19989261,,,,,,RELIANCE.NS
03-02-2012,,,,250.0823042,,,,,,254.0251312,,,,,,254.8237371,,,,,,250.0823042,,,,,,11637200,,,INFY.NS
03-02-2012,,,,,140.8788358,,,,,,142.7956696,,,,,,143.1774721,,,,,,139.0243476,,,,,,27169367,,ICICIBANK.NS
03-02-2012,,,103.3700143,,,,,,105.1880798,,,,,,105.5516929,,,,,,102.9025117,,,,,,14915004,,,,HDFCBANK.NS
